source,target,用量,relation
742,5,适量,辅料
742,318,适量,辅料
742,54,25g,辅料
743,313,300g,主食材
743,347,100g,辅料
743,209,1个,辅料
743,243,2个,辅料
743,1,2个,辅料
743,5,2g,辅料
743,67,2g,辅料
743,121,2g,辅料
743,22,5g,辅料
743,321,8g,辅料
743,57,少许,辅料
744,59,500g,主食材
744,26,400g,辅料
744,27,3g,辅料
744,67,5g,辅料
744,28,220g,辅料
744,100,5g,辅料
744,34,8g,辅料
744,3,适量,辅料
744,1,适量,辅料
744,5,适量,辅料
745,26,适量,主食材
745,84,适量,主食材
745,52,适量,主食材
745,5,适量,辅料
746,26,适量,主食材
746,84,适量,主食材
746,52,适量,主食材
746,5,适量,辅料
747,479,适量,主食材
747,107,适量,主食材
747,1,适量,辅料
747,22,适量,辅料
747,23,适量,辅料
747,21,适量,辅料
747,67,适量,辅料
747,54,适量,辅料
748,103,70g,主食材
748,37,86g,主食材
748,85,65g,主食材
748,84,258g,主食材
748,67,50g,辅料
748,282,或白醋，10滴,辅料
748,5,1g,辅料
749,76,3000g,主食材
749,358,500g,主食材
749,480,400g,辅料
749,320,300g,辅料
749,264,200g,辅料
749,121,200g,辅料
749,67,200g,辅料
749,99,200g,辅料
749,64,1500g,辅料
750,169,200g,主食材
750,41,半个,主食材
750,4,25ml,辅料
751,466,5条,主食材
751,26,适量,主食材
751,1,适量,辅料
751,2,适量,辅料
751,328,适量,辅料
751,5,适量,辅料
751,61,500克,辅料
751,6,适量,辅料
751,161,适量,辅料
751,162,适量,辅料
751,99,2勺,辅料
751,22,2勺,辅料
752,84,8个,主食材
752,85,120g,辅料
752,103,90g,辅料
752,81,90g,辅料
752,66,15g,辅料
752,37,90g,辅料
752,350,几滴,辅料
753,58,适量,主食材
753,84,适量,主食材
753,14,适量,主食材
753,3,适量,辅料
753,61,适量,辅料
753,5,适量,辅料
754,37,50g,主食材
754,100,1g,主食材
754,84,1只,主食材
754,219,半只,主食材
754,81,15g,主食材
754,65,10g,主食材
755,167,适量,主食材
755,207,适量,主食材
755,128,适量,主食材
755,5,2克,辅料
756,167,适量,主食材
756,42,适量,主食材
756,3,适量,主食材
756,467,两块,主食材
756,103,6毫升,辅料
757,52,适量,辅料
758,468,一条,主食材
758,96,适量,主食材
758,130,两个,主食材
758,439,一小勺,辅料
758,103,8毫升,辅料
758,5,少许,辅料
758,22,3毫升,辅料
758,6,3毫升,辅料
759,145,适量,主食材
759,116,适量,主食材
759,3,适量,主食材
759,103,8毫升,辅料
759,22,3毫升,辅料
759,5,少许,辅料
759,17,3毫升,辅料
759,67,2克,辅料
759,439,一勺,辅料
760,14,适量,主食材
760,181,适量,主食材
760,126,一碗,主食材
760,439,一小勺,辅料
760,103,8毫升,辅料
760,5,少许,辅料
761,122,800克,主食材
761,294,45克,辅料
762,416,适量,主食材
762,96,适量,主食材
762,154,适量,主食材
762,19,适量,主食材
762,465,一个,主食材
762,3,适量,辅料
762,1,适量,辅料
762,123,适量,辅料
762,61,适量,辅料
762,34,适量,辅料
762,7,适量,辅料
762,62,适量,辅料
763,341,适量,主食材
763,222,适量,辅料
763,67,适量,辅料
764,91,适量,主食材
764,3,适量,辅料
764,2,适量,辅料
764,161,适量,辅料
764,192,一个,辅料
764,375,适量,辅料
764,162,一个,辅料
764,5,适量,辅料
764,6,适量,辅料
764,36,适量,辅料
765,193,适量,主食材
765,5,少许,辅料
766,107,一个,主食材
766,138,两个,主食材
766,3,适量,辅料
766,1,适量,辅料
766,47,适量,辅料
766,2,适量,辅料
766,4,适量,辅料
766,5,适量,辅料
766,62,适量,辅料
766,7,适量,辅料
766,439,一勺,辅料
767,169,适量,主食材
767,37,20克,主食材
767,440,140克,主食材
767,27,2克,主食材
767,52,适量,辅料
768,36,200ml,辅料
768,50,一勺,辅料
769,10,两个,主食材
769,64,一小勺,辅料
769,103,8毫升,辅料
769,17,2毫升,辅料
769,5,少许,辅料
770,40,580克,主食材
770,441,40克,主食材
770,103,115克,主食材
770,5,3克,主食材
770,397,2.5克,主食材
770,66,6克,主食材
770,2,适量,主食材
770,1,适量,主食材
770,6,20克,主食材
771,88,250g,主食材
771,84,1个,辅料
771,5,4g,辅料
771,27,3g,辅料
771,67,20g,辅料
771,103,20g,辅料
772,72,1根,主食材
772,43,适量,主食材
772,10,1颗,辅料
772,13,1根,辅料
772,61,1勺,辅料
772,2,少许,辅料
772,22,1匙,辅料
772,17,1匙,辅料
772,5,适量,辅料
773,58,50g,主食材
773,355,2颗,辅料
773,61,2匙,辅料
773,3,少许,辅料
773,2,适量,辅料
773,22,1匙,辅料
773,17,1匙,辅料
773,5,适量,辅料
773,57,少许,辅料
774,458,半或一 超市袋子,主食材
774,421,2-4块,辅料
774,2,适量,辅料
774,3,适量,辅料
774,1,适量,辅料
774,5,一点勺,辅料
774,7,半／1勺,辅料
775,478,800g（半只）,主食材
775,10,400g,辅料
775,361,100g,辅料
775,297,4个,辅料
775,3,适量,辅料
775,60,2个,辅料
775,64,1勺,辅料
775,161,10余粒,辅料
775,22,10g,辅料
775,23,5g,辅料
775,67,10g,辅料
775,71,3g,辅料
775,5,5g,辅料
775,2,适量,辅料
775,1,适量,辅料
776,260,1条(3斤),主食材
776,397,2枚,辅料
776,3,适量,辅料
776,2,适量,辅料
776,388,适量,辅料
776,5,适量,辅料
776,318,适量,辅料
776,54,25g,辅料
777,313,300g,主食材
777,347,100g,辅料
777,209,1个,辅料
777,243,2个,辅料
777,1,2个,辅料
777,5,2g,辅料
777,67,2g,辅料
777,121,2g,辅料
777,22,5g,辅料
777,321,8g,辅料
777,57,少许,辅料
778,59,500g,主食材
778,26,400g,辅料
778,27,3g,辅料
778,67,5g,辅料
778,28,220g,辅料
778,100,5g,辅料
778,34,8g,辅料
778,3,适量,辅料
778,1,适量,辅料
778,5,适量,辅料
779,26,适量,主食材
779,84,适量,主食材
779,52,适量,主食材
779,5,适量,辅料
780,26,适量,主食材
780,84,适量,主食材
780,52,适量,主食材
780,5,适量,辅料
781,26,200克,主食材
781,481,80克,主食材
781,27,5+2克,辅料
781,67,适量,辅料
781,85,一瓶,辅料
781,36,适量,辅料
781,482,适量,辅料
781,483,适量,辅料
782,84,5个,主食材
782,37,90g,主食材
782,85,80g,主食材
782,103,20g,主食材
782,5,5g,主食材
782,81,60g,主食材
782,484,适量,辅料
782,3,适量,辅料
782,320,适量,辅料
782,229,适量,辅料
782,350,几滴,辅料
783,485,300g,主食材
783,486,10个,主食材
783,487,250g,辅料
783,488,适量,辅料
784,116,适量,主食材
784,401,适量,主食材
784,209,适量,主食材
784,64,一小勺,辅料
784,103,8毫升,辅料
784,5,1克,辅料
784,22,2毫升,辅料
785,347,适量,主食材
785,218,适量,主食材
785,90,适量,主食材
785,106,适量,主食材
785,184,适量,主食材
785,52,适量,辅料
786,2,两块,主食材
786,5,少许,辅料
786,22,3毫升,辅料
786,6,5毫升,辅料
786,67,1克,辅料
787,384,适量,主食材
787,90,适量,主食材
787,131,适量,主食材
787,106,适量,主食材
787,52,适量,辅料
788,177,4片,主食材
788,84,2个,主食材
788,489,适量,辅料
788,257,适量,辅料
788,67,适量,辅料
789,59,1个,主食材
789,243,2个,辅料
789,5,半茶匙,辅料
789,67,1汤匙,辅料
789,99,2汤匙,辅料
789,22,2汤匙,辅料
790,2,适量,辅料
790,3,适量,辅料
790,5,适量,辅料
790,6,适量,辅料
790,22,适量,辅料
791,84,8个,主食材
791,85,120g,辅料
791,103,90g,辅料
791,81,90g,辅料
791,66,15g,辅料
791,37,90g,辅料
791,350,几滴,辅料
792,58,适量,主食材
792,84,适量,主食材
792,14,适量,主食材
792,3,适量,辅料
792,61,适量,辅料
792,5,适量,辅料
793,37,50g,主食材
793,100,1g,主食材
793,84,1只,主食材
793,219,半只,主食材
793,81,15g,主食材
793,65,10g,主食材
794,167,适量,主食材
794,207,适量,主食材
794,128,适量,主食材
794,5,2克,辅料
795,167,适量,主食材
795,42,适量,主食材
795,3,适量,主食材
795,467,两块,主食材
795,103,6毫升,辅料
796,52,适量,辅料
797,468,一条,主食材
797,96,适量,主食材
797,130,两个,主食材
797,439,一小勺,辅料
797,103,8毫升,辅料
797,5,少许,辅料
797,22,3毫升,辅料
797,6,3毫升,辅料
798,145,适量,主食材
798,116,适量,主食材
798,3,适量,主食材
798,103,8毫升,辅料
798,22,3毫升,辅料
798,5,少许,辅料
798,17,3毫升,辅料
798,67,2克,辅料
798,439,一勺,辅料
799,14,适量,主食材
799,181,适量,主食材
799,126,一碗,主食材
799,439,一小勺,辅料
799,103,8毫升,辅料
799,5,少许,辅料
800,122,800克,主食材
800,294,45克,辅料
801,21,适量,辅料
801,3,适量,辅料
802,55,适量,主食材
802,18,适量,主食材
802,5,适量,辅料
802,7,适量,辅料
802,2,适量,辅料
802,60,适量,辅料
803,26,适量,主食材
803,312,2个,辅料
803,153,适量,辅料
803,13,个,辅料
803,490,适量,辅料
803,3,1颗,辅料
803,55,适量,辅料
803,97,2颗,辅料
803,96,1块,辅料
803,5,半勺,辅料
803,71,半勺,辅料
803,20,适量,辅料
803,22,1勺,辅料
803,195,半勺,辅料
803,61,适量,辅料
804,491,400克,主食材
804,106,280克,主食材
805,59,1个,主食材
805,202,1瓶,辅料
805,47,半个,辅料
805,350,少许,辅料
805,67,少许,辅料
806,171,适量,主食材
806,299,适量,主食材
806,84,一个,主食材
806,113,适量,辅料
806,5,适量,辅料
807,70,1斤半左右,主食材
807,457,一瓶,辅料
807,3,适量,辅料
807,24,适量,辅料
808,84,2颗,主食材
808,355,2颗,辅料
808,447,1个,辅料
808,61,1勺,辅料
808,5,适量,辅料
809,13,1根,主食材
809,262,1勺,辅料
809,84,2只,辅料
809,61,适量,辅料
809,5,适量,辅料
809,24,少许,辅料
810,18,500g,主食材
810,263,适量,辅料
810,299,150g,辅料
810,161,1匙,辅料
810,162,1颗,辅料
810,5,适量,辅料
811,52,半碗,辅料
811,22,3g,辅料
811,5,半克,辅料
811,97,1棵,辅料
812,84,2个,主食材
812,130,2个,主食材
812,328,适量,辅料
812,61,适量,辅料
812,5,适量,辅料
813,26,270克,主食材
813,84,1个,主食材
813,5,2克,主食材
813,27,4克,主食材
813,86,20克,主食材
813,81,30克,主食材
813,85,100克,主食材
813,65,20克,辅料
814,260,一条约500g,主食材
814,3,四根,辅料
814,243,一个,辅料
814,77,100毫升,辅料
814,4,适量,辅料
814,5,少量,辅料
814,21,适量,辅料
814,7,少量,辅料
815,417,1个,主食材
815,418,250g,主食材
815,65,50g,辅料
815,85,25g,辅料
815,137,适量,辅料
815,419,适量,辅料
816,10,3个,主食材
816,420,300g,主食材
816,1,一个,辅料
816,3,一条,辅料
817,130,2个,辅料
817,421,100克,辅料
817,341,1把,辅料
817,123,1根,辅料
817,97,3根,辅料
817,42,2朵,辅料
817,328,4根,辅料
817,181,4根,辅料
817,92,1段,辅料
817,422,1片,辅料
817,153,3多,辅料
817,423,1把,辅料
817,424,1块,辅料
817,188,1把,辅料
817,3,1段,辅料
817,2,2片,辅料
817,1,3瓣,辅料
817,6,1勺,辅料
817,21,2勺,辅料
817,23,1勺,辅料
817,22,1勺,辅料
817,5,2勺,辅料
817,425,1勺,辅料
818,426,适量,主食材
818,92,适量,主食材
818,3,适量,主食材
818,5,适量,辅料
818,6,适量,辅料
818,22,适量,辅料
818,21,适量,辅料
818,62,适量,辅料
819,193,600克,主食材
819,427,6个,主食材
819,13,1根,主食材
819,2,2片,辅料
819,247,适量,辅料
819,5,1克,辅料
820,197,1块,主食材
820,209,6根,主食材
820,47,1个,主食材
820,42,2朵,辅料
820,1,4瓣,辅料
820,4,10克,辅料
820,247,半碗,辅料
820,7,20克,辅料
821,84,3个,主食材
821,37,75克,主食材
821,134,55克,主食材
821,136,45克,主食材
822,128,适量,主食材
822,3,适量,辅料
823,193,3条,主食材
823,2,适量,辅料
823,3,适量,辅料
823,1,适量,辅料
823,22,适量,辅料
823,21,适量,辅料
823,61,适量,辅料
824,128,约120克,主食材
824,309,适量,主食材
824,84,两个,主食材
824,3,少许,辅料
824,57,少许,辅料
824,7,少许,辅料
824,5,少许,辅料
825,26,200克,主食材
825,481,80克,主食材
825,27,5+2克,辅料
825,67,适量,辅料
825,85,一瓶,辅料
825,36,适量,辅料
825,482,适量,辅料
825,483,适量,辅料
826,84,5个,主食材
826,37,90g,主食材
826,85,80g,主食材
826,103,20g,主食材
826,5,5g,主食材
826,81,60g,主食材
826,484,适量,辅料
826,3,适量,辅料
826,320,适量,辅料
826,229,适量,辅料
826,350,几滴,辅料
827,485,300g,主食材
827,486,10个,主食材
827,487,250g,辅料
827,488,适量,辅料
828,116,适量,主食材
828,401,适量,主食材
828,209,适量,主食材
828,64,一小勺,辅料
828,103,8毫升,辅料
828,5,1克,辅料
828,22,2毫升,辅料
829,347,适量,主食材
829,218,适量,主食材
829,90,适量,主食材
829,106,适量,主食材
829,184,适量,主食材
829,52,适量,辅料
830,2,两块,主食材
830,5,少许,辅料
830,22,3毫升,辅料
830,6,5毫升,辅料
830,67,1克,辅料
831,492,400g,主食材
831,61,2勺,辅料
831,26,1勺,辅料
831,3,1勺,辅料
831,24,1匙,辅料
831,5,适量,辅料
832,355,250g,主食材
832,18,75g,主食材
832,61,1勺,辅料
832,3,适量,辅料
832,2,适量,辅料
832,1,适量,辅料
832,22,1匙,辅料
832,5,适量,辅料
833,36,适量,辅料
834,147,适量,主食材
834,489,适量,主食材
834,90,适量,主食材
834,36,适量,辅料
834,106,适量,辅料
835,171,适量,主食材
835,305,一个,主食材
835,14,一个,主食材
835,209,适量,辅料
836,7,适量,辅料
836,195,适量,辅料
836,21,适量,辅料
836,5,适量,辅料
836,67,适量,辅料
837,88,250克,主食材
837,134,25克,主食材
837,27,3克,主食材
837,84,（含刷面）1个,主食材
837,65,（室温软化）25克,主食材
837,52,90克,主食材
837,264,2克,主食材
837,101,7克,主食材
837,50,35克,主食材
837,127,适量,辅料
837,65,（抹烤盘用）15克,辅料
838,84,3个,主食材
838,112,1棵,主食材
838,13,半根,主食材
838,41,半个,主食材
838,268,3片,主食材
838,153,5朵,主食材
838,262,1把,主食材
838,344,40个,主食材
838,6,1勺,辅料
838,21,2勺,辅料
838,48,半勺,辅料
838,57,1勺,辅料
838,71,半勺,辅料
838,5,1勺,辅料
839,193,2条,主食材
839,115,适量,主食材
839,2,适量,辅料
839,5,适量,辅料
839,21,适量,辅料
839,22,适量,辅料
839,61,适量,辅料
840,120,一根,主食材
840,13,半根,主食材
840,313,少许,主食材
840,204,少许,辅料
840,259,少许,辅料
840,5,少许,辅料
840,71,少许,辅料
840,321,少许,辅料
840,22,少许,辅料
840,1,少许,辅料
841,122,9个,主食材
841,457,一杯,辅料
841,2,几片,辅料
841,3,少量,辅料
841,5,少量,辅料
841,7,少量,辅料
841,4,适量,辅料
842,84,三个,主食材
842,249,几根,辅料
842,5,适量,辅料
842,6,一勺,辅料
842,4,适量,辅料
843,458,适量,主食材
843,3,适量,辅料
843,2,适量,辅料
843,1,适量,辅料
843,162,2个,辅料
843,60,2个,辅料
843,5,适量,辅料
843,121,适量,辅料
843,24,适量,辅料
843,6,适量,辅料
843,22,适量,辅料
843,23,适量,辅料
843,21,适量,辅料
844,65,200克,主食材
844,134,200克,主食材
844,84,170克,主食材
844,37,200克,主食材
844,110,5克,主食材
844,100,2克,主食材
844,459,60克,主食材
844,337,适量,辅料
844,377,适量,辅料
845,63,适量,主食材
845,460,少许,辅料
845,47,少许,辅料
846,56,1-2把,主食材
846,112,几朵,辅料
846,31,半个,辅料
846,461,几片,辅料
846,120,半根,辅料
846,14,几片,辅料
846,243,2个,辅料
846,1,适量,辅料
846,127,适量,辅料
846,462,150克（适量）,辅料
846,22,2勺,辅料
846,321,2勺,辅料
846,67,2勺,辅料
846,5,1匙,辅料
847,18,(牛肉也行)适量,主食材
847,160,1把,辅料
847,21,1勺,辅料
847,5,1勺,辅料
847,67,1勺,辅料
847,121,1勺,辅料
848,70,适量,主食材
848,3,适量,辅料
848,2,适量,辅料
848,162,适量,辅料
848,162,适量,辅料
848,463,适量,辅料
848,67,适量,辅料
848,106,适量,辅料
849,392,300g,主食材
849,153,适量,主食材
849,328,适量,主食材
849,84,1个,辅料
849,3,1段,辅料
849,1,2瓣,辅料
849,2,2片,辅料
849,5,适量,辅料
849,22,2匙,辅料
849,23,半匙,辅料
849,6,1匙,辅料
849,54,2匙,辅料
849,9,少许,辅料
849,17,1匙,辅料
849,4,适量,辅料
850,26,500g,主食材
850,84,1个,主食材
850,28,适量,主食材
850,10,适量,辅料
850,464,适量,辅料
851,88,250克,主食材
851,134,25克,主食材
851,27,3克,主食材
851,84,（含刷面）1个,主食材
851,65,（室温软化）25克,主食材
851,52,90克,主食材
851,264,2克,主食材
851,101,7克,主食材
851,50,35克,主食材
851,127,适量,辅料
851,65,（抹烤盘用）15克,辅料
852,84,3个,主食材
852,112,1棵,主食材
852,13,半根,主食材
852,41,半个,主食材
852,268,3片,主食材
852,153,5朵,主食材
852,262,1把,主食材
852,344,40个,主食材
852,6,1勺,辅料
852,21,2勺,辅料
852,48,半勺,辅料
852,57,1勺,辅料
852,71,半勺,辅料
852,5,1勺,辅料
853,193,2条,主食材
853,115,适量,主食材
853,2,适量,辅料
853,5,适量,辅料
853,21,适量,辅料
853,22,适量,辅料
853,61,适量,辅料
854,120,一根,主食材
854,13,半根,主食材
854,313,少许,主食材
854,204,少许,辅料
854,259,少许,辅料
854,5,少许,辅料
854,71,少许,辅料
854,321,少许,辅料
854,22,少许,辅料
854,1,少许,辅料
855,4,半匙,辅料
855,164,50g,辅料
855,493,70g,辅料
855,494,三分之一根,辅料
855,3,小许,辅料
855,22,5g,辅料
857,70,适量,主食材
857,301,一个,主食材
858,206,一个,主食材
858,2,30g,辅料
858,69,100g,辅料
858,183,适量,辅料
858,5,适量,辅料
859,79,1根,主食材
859,26,约200克,主食材
859,27,3克,辅料
859,320,1把,辅料
859,67,10克,辅料
860,92,175克,主食材
860,207,185克,主食材
860,5,适量,辅料
860,121,适量,辅料
861,153,10g,主食材
861,347,10g,主食材
861,97,2棵,辅料
861,1,2瓣,辅料
861,4,少许,辅料
861,5,1g,辅料
861,22,10g,辅料
861,99,10g,辅料
861,57,3g,辅料
862,10,适量,主食材
862,5,少量,辅料
863,495,一个,主食材
863,97,适量,辅料
863,70,适量,辅料
863,103,适量,辅料
863,23,半勺,辅料
863,22,2勺,辅料
863,248,一勺,辅料
863,6,一勺,辅料
863,388,三勺,辅料
863,246,一瓶,辅料
863,5,适量,辅料
864,25,适量,主食材
864,226,一个,辅料
864,1,适量,辅料
864,2,适量,辅料
864,103,适量,辅料
864,5,适量,辅料
865,1,适量,辅料
865,98,适量,辅料
865,5,适量,辅料
865,22,适量,辅料
865,99,适量,辅料
866,26,300克,主食材
866,27,3克,辅料
866,5,3克,辅料
866,94,70克,辅料
866,342,100克,辅料
866,205,500克,辅料
867,169,约100克,主食材
867,102,1/4小勺,主食材
867,9,1/3小勺,主食材
867,66,1/2大勺,主食材
867,205,2大勺,主食材
867,115,约350克,辅料
867,264,1小勺,辅料
867,205,1/2大勺,辅料
867,211,1大满勺,辅料
867,1,1大勺,辅料
867,2,1撮,辅料
868,496,500克,主食材
868,59,2个,主食材
868,77,50克,辅料
868,2,3片,辅料
868,249,5克,辅料
869,3,适量,辅料
869,2,适量,辅料
869,162,适量,辅料
869,191,适量,辅料
869,375,适量,辅料
869,192,适量,辅料
869,161,适量,辅料
869,5,适量,辅料
869,36,适量,辅料
869,6,适量,辅料
870,289,一只,主食材
870,497,一杯,辅料
870,4,一杯（花雕酒的1/3）,辅料
870,7,一杯（花雕酒的1/2）,辅料
870,123,适量,辅料
870,2,适量,辅料
870,1,适量,辅料
871,169,200g,主食材
871,188,100g,辅料
871,1,3粒,辅料
871,60,5个,辅料
871,242,适量,辅料
871,54,适量,辅料
871,15,1棵,辅料
871,97,2棵,辅料
871,2,少许,辅料
871,161,2g,辅料
871,29,5g,辅料
871,5,3g,辅料
871,22,1勺,辅料
871,23,少许,辅料
871,64,1勺,辅料
872,498,2片,主食材
872,458,适量,主食材
872,499,适量,辅料
872,229,适量,辅料
873,171,适量,主食材
873,69,适量,主食材
873,243,适量,辅料
873,3,适量,辅料
873,1,适量,辅料
873,21,1勺,辅料
873,22,1勺,辅料
873,17,1勺,辅料
873,5,适量,辅料
873,67,半勺,辅料
873,500,适量,辅料
874,59,6片,主食材
874,373,80g,主食材
874,5,（腌萝卜）1g,辅料
874,3,小许,辅料
874,4,小许,辅料
874,5,小许,辅料
874,71,小许,辅料
874,22,3g,辅料
874,2,适量,辅料
875,26,200克,主食材
875,134,20克,主食材
875,27,3克,主食材
875,264,2克,主食材
875,257,适量,辅料
876,15,一把,主食材
876,84,三个,主食材
876,61,适量,辅料
876,5,少许,辅料
877,26,适量,主食材
877,94,适量,主食材
877,96,适量,主食材
877,95,适量,主食材
877,501,适量,主食材
877,3,适量,辅料
877,154,适量,辅料
877,361,适量,辅料
877,5,适量,辅料
877,4,适量,辅料
877,62,适量,辅料
877,48,适量,辅料
877,17,适量,辅料
877,7,适量,辅料
877,242,适量,辅料
877,127,适量,辅料
878,193,适量,主食材
878,12,适量,主食材
878,59,适量,主食材
878,32,适量,辅料
878,2,适量,辅料
878,3,适量,辅料
878,26,适量,辅料
878,5,适量,辅料
879,502,一袋,主食材
879,84,一个,主食材
879,254,适量,主食材
879,207,适量,辅料
879,36,适量,辅料
879,503,适量,辅料
879,7,适量,辅料
879,504,适量,辅料
880,505,100g,主食材
880,5,或沙拉酱，小许,辅料
881,4,适量,辅料
881,5,少量,辅料
881,21,适量,辅料
882,301,1根,主食材
882,344,16张,主食材
882,132,20克,主食材
882,86,20克,辅料
882,255,50克,辅料
882,29,少许,辅料
883,84,2个,主食材
883,134,67克,主食材
883,50,6克,主食材
883,85,15克,主食材
883,36,5克,主食材
883,284,15克,主食材
883,37,67克,主食材
883,103,16克,主食材
883,127,适量,主食材
884,26,300克,主食材
884,506,适量,主食材
884,507,适量,主食材
884,55,适量,辅料
884,98,适量,辅料
884,5,适量,辅料
884,27,3克,辅料
884,103,适量,辅料
885,219,适量,主食材
885,508,适量,辅料
885,32,适量,辅料
886,188,适量,主食材
886,451,适量,辅料
886,19,适量,辅料
886,103,适量,辅料
886,5,适量,辅料
886,3,适量,辅料
887,70,适量,主食材
887,142,适量,辅料
887,6,5克,辅料
887,388,30克,辅料
887,23,1勺,辅料
887,22,2勺,辅料
887,106,适量,辅料
887,5,适量,辅料
887,3,适量,辅料
887,2,适量,辅料
887,162,适量,辅料
888,286,300g,主食材
888,316,200g,主食材
888,155,2个,主食材
888,54,20g,主食材
888,2,20g,辅料
888,3,1棵,辅料
888,320,20g,辅料
888,29,500g,辅料
888,5,3g,辅料
888,9,2g,辅料
888,22,1勺,辅料
889,509,1包（大约90个）,主食材
889,3,适量,辅料
889,161,适量,辅料
889,60,适量,辅料
889,2,适量,辅料
889,23,适量,辅料
889,21,适量,辅料
889,22,适量,辅料
889,67,适量,辅料
889,71,适量,辅料
890,260,一条500g,主食材
890,2,适量,辅料
890,3,15g,辅料
890,243,一个,辅料
890,4,适量,辅料
890,5,适量,辅料
890,77,100毫升,辅料
890,7,10毫升,辅料
890,21,15毫升,辅料
891,130,一个,主食材
891,116,适量,主食材
891,3,适量,主食材
891,103,5毫升,辅料
891,5,少许,辅料
892,77,适量,主食材
892,2,几片,主食材
892,510,适量,主食材
892,22,2毫升,辅料
892,5,少许,辅料
892,103,8毫升,辅料
893,222,适量,辅料
894,116,适量,主食材
894,145,适量,主食材
894,511,适量,主食材
894,21,一小勺,辅料
894,5,2克,辅料
894,22,3毫升,辅料
894,6,3毫升,辅料
895,92,适量,主食材
895,39,适量,主食材
895,193,适量,主食材
895,131,几个,主食材
895,5,少许,辅料
896,171,适量,主食材
896,96,适量,主食材
896,468,一条,主食材
896,2,几片,主食材
896,103,10毫升,辅料
896,5,少许,辅料
897,358,适量,主食材
897,512,一个,主食材
897,513,500g,主食材
897,84,两个,辅料
897,4,适量,辅料
897,5,少量,辅料
897,21,适量,辅料
898,88,240克,主食材
898,37,60克,主食材
898,36,180克,主食材
898,65,20克,主食材
898,510,16个,辅料
898,209,1个,辅料
898,42,5个,辅料
898,11,适量,辅料
898,12,适量,辅料
898,514,6片,辅料
898,515,适量,辅料
898,180,适量,辅料
898,47,1个,辅料
898,4,1汤匙,辅料
898,5,1小勺,辅料
899,114,适量,主食材
899,10,适量,辅料
899,13,适量,辅料
899,514,适量,辅料
899,179,适量,辅料
899,41,适量,辅料
900,96,1块,主食材
900,193,随意,辅料
900,516,少许,辅料
901,317,300g,主食材
901,243,3个,主食材
901,2,5块,辅料
901,1,3粒,辅料
901,29,5g,辅料
901,5,3g,辅料
901,21,1勺,辅料
901,23,少许,辅料
901,22,适量,辅料
902,84,1个,主食材
902,517,1个,辅料
902,85,适量,辅料
902,67,1勺,辅料
903,26,400g,主食材
903,67,60g,主食材
903,5,1g,主食材
903,100,10g,主食材
903,84,2个,主食材
903,85,1小碗,主食材
903,65,180g,主食材
903,219,1个,辅料
903,31,1个,辅料
903,67,90g,辅料
903,65,30g,辅料
903,518,适量,辅料
903,519,适量,辅料
903,84,1个,辅料
903,85,1小勺,辅料
904,447,2个,主食材
904,290,适量,主食材
904,14,适量,主食材
904,520,适量,辅料
904,5,适量,辅料
904,4,适量,辅料
905,286,1块,主食材
905,521,200克,主食材
905,47,1个,主食材
905,209,1个,主食材
905,256,适量,主食材
905,5,少许,辅料
905,67,少许,辅料
906,522,一把,主食材
906,3,适量,辅料
907,384,250g,主食材
908,132,500g,主食材
908,133,适量,辅料
908,94,适量,辅料
909,320,125g,主食材
909,257,125g,主食材
909,67,100g,辅料
909,65,100g,辅料
910,95,半个,主食材
910,56,1把,辅料
910,13,半根,辅料
910,84,三个,辅料
910,1,3瓣,辅料
910,3,1段,辅料
910,4,适量,辅料
910,23,少许,辅料
910,21,1勺,辅料
910,22,1勺,辅料
910,5,少许,辅料
910,67,1勺,辅料
910,9,少许,辅料
911,84,4个,主食材
911,363,10只,主食材
911,120,半个,辅料
911,249,6颗,辅料
911,2,1块,辅料
911,5,适量,辅料
911,9,1勺,辅料
911,6,半勺,辅料
912,308,适量,主食材
912,523,适量,主食材
912,1,适量,辅料
912,67,适量,辅料
912,71,适量,辅料
913,37,50克,主食材
913,29,45克,主食材
913,86,30克,主食材
913,84,4个,主食材
913,81,35克,主食材
913,66,5克,主食材
913,282,适量,辅料
914,479,适量,主食材
914,1,适量,辅料
914,467,适量,辅料
914,524,适量,辅料
914,127,适量,辅料
915,525,700g,主食材
915,3,适量,辅料
915,2,适量,辅料
915,1,适量,辅料
915,526,2勺,辅料
915,23,1勺,辅料
915,6,3勺,辅料
915,21,2勺,辅料
915,51,1块,辅料
916,214,1公斤,主食材
916,527,1把,主食材
916,154,2根,主食材
916,528,3粒,辅料
916,5,适量,辅料
917,265,80G,主食材
917,88,120g,主食材
917,207,适量,辅料
918,529,半碗,主食材
918,96,1块,主食材
918,13,1段,主食材
918,55,1把,主食材
918,153,3朵,主食材
918,423,1把,主食材
918,84,1个,主食材
918,181,1把,主食材
918,42,3朵,主食材
918,415,1段,主食材
918,123,1根,辅料
918,1,3瓣,辅料
918,21,1勺,辅料
918,7,2勺,辅料
918,99,2勺,辅料
918,5,2勺,辅料
918,62,2勺,辅料
918,150,2勺,辅料
919,530,适量,辅料
919,87,适量,辅料
920,531,1个,主食材
920,202,5个,辅料
920,532,20g,辅料
920,204,2勺,辅料
920,17,1勺,辅料
920,5,适量,辅料
921,128,50g,主食材
921,169,20g,辅料
921,533,20g,辅料
921,204,3勺,辅料
921,5,适量,辅料
921,17,1勺,辅料
921,22,1勺,辅料
922,128,100g,主食材
